Unnamed: 0,rk,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,pts_improvement,ast_improvement,trb_improvement,stl_improvement,blk_improvement,fg%_improvement,3p%_improvement,ft%_improvement,weighted_pts,weighted_ast,weighted_trb,pts_positional_rank,ast_positional_rank,trb_positional_rank,stl_positional_rank,blk_positional_rank,fg%_positional_rank,3p%_positional_rank,ft%_positional_rank,efficiency,efficiency_rank,consistency_score,consistency_rank
2652,567,Delon Wright,PG,31,MIA,14,1,20.4,1.9,4.7,0.394,0.8,2.1,0.367,1.1,2.6,0.417,0.477,0.9,1.1,0.813,0.4,1.5,1.9,2.6,1.4,0.2,0.2,0.7,5.4,2024,-0.2702702702702703,-0.33333333333333326,-0.4722222222222222,-0.22222222222222232,-0.33333333333333326,-0.16877637130801681,0.06376811594202914,-0.06228373702422152,3.24,1.56,1.14,86.0,77.0,82.0,13.0,77.0,101.0,61.0,73.0,0.5637254901960784,591.0,1.3427583550289308,454.0
2650,567,Delon Wright,PG,31,TOT,47,1,15.8,1.6,4.0,0.394,0.5,1.4,0.368,1.0,2.6,0.408,0.46,0.8,1.0,0.822,0.4,1.4,1.8,2.5,1.1,0.2,0.3,0.7,4.5,2024,-0.16666666666666674,-0.03846153846153855,-0.05263157894736836,-0.2142857142857142,0.0,0.0,0.0027247956403269047,0.011070110701107083,2.6999999999999997,1.5,1.08,98.0,81.0,93.0,27.0,77.0,101.0,60.0,65.0,0.6392405063291139,481.0,1.3427583550289308,454.0
2651,567,Delon Wright,PG,31,WAS,33,0,13.8,1.5,3.7,0.393,0.4,1.2,0.368,1.0,2.5,0.405,0.451,0.7,0.9,0.828,0.4,1.4,1.8,2.5,1.1,0.2,0.3,0.7,4.1,2024,-0.08888888888888902,0.0,0.0,0.0,0.0,-0.0025380710659898,0.0,0.007299270072992803,2.4599999999999995,1.5,1.08,105.0,81.0,93.0,27.0,77.0,102.0,60.0,59.0,0.7028985507246376,374.0,1.3427583550289308,454.0
25,20,Deni Avdija,SF,21,WAS,82,8,24.2,3.0,7.1,0.432,1.0,3.2,0.317,2.0,3.9,0.525,0.503,1.3,1.7,0.757,0.6,4.5,5.2,2.0,0.7,0.5,1.1,2.3,8.4,2022,,,,,,,,,0.8400000000000001,0.2,0.52,49.0,36.0,21.0,54.0,38.0,72.0,89.0,68.0,0.6942148760330579,416.0,3.429771615331453,90.0
1048,16,Deni Avdija,SF,22,WAS,76,40,26.6,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,0.497,1.6,2.2,0.739,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,2023,0.09523809523809512,0.3999999999999999,0.23076923076923084,0.2857142857142858,-0.19999999999999996,0.011574074074074181,-0.06309148264984232,-0.023778071334214057,2.76,0.84,1.92,48.0,18.0,6.0,28.0,37.0,75.0,98.0,75.0,0.7406015037593983,316.0,3.429771615331453,82.0
1946,16,Deni Avdija,SF,23,WAS,75,75,30.1,5.4,10.7,0.506,1.2,3.1,0.374,4.2,7.6,0.56,0.56,2.7,3.6,0.74,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5,14.7,2024,0.5978260869565217,0.3571428571428572,0.125,-0.11111111111111105,0.25,0.1578947368421053,0.2592592592592593,0.0013531799729364913,8.819999999999999,2.28,4.32,21.0,7.0,5.0,47.0,44.0,18.0,51.0,88.0,0.8970099667774086,142.0,3.429771615331453,92.0
658,493,Dennis Schröder,SG,28,BOS,49,25,29.2,5.2,11.9,0.44,1.4,3.9,0.349,3.9,8.0,0.485,0.497,2.5,3.0,0.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4,2022,,,,,,,,,1.4400000000000002,0.42000000000000004,0.33,31.0,18.0,57.0,71.0,147.0,66.0,84.0,58.0,0.7808219178082193,278.0,1.2772738827004064,508.0
659,493,Dennis Schröder,PG,28,HOU,15,4,26.9,3.7,9.3,0.393,1.3,3.9,0.328,2.4,5.5,0.439,0.461,2.3,2.6,0.872,0.4,2.9,3.3,5.9,0.8,0.2,2.6,2.5,10.9,2022,-0.24305555555555558,0.4047619047619049,0.0,0.0,1.0,-0.10681818181818181,-0.06017191977077352,0.028301886792452935,1.09,0.5900000000000001,0.33,44.0,25.0,39.0,63.0,90.0,93.0,75.0,39.0,0.7843866171003718,275.0,1.2772738827004064,508.0
657,493,Dennis Schröder,SG-PG,28,TOT,64,29,28.7,4.9,11.3,0.431,1.3,3.9,0.344,3.5,7.4,0.477,0.49,2.5,2.9,0.853,0.5,2.8,3.3,4.6,0.8,0.1,2.2,2.4,13.5,2022,0.23853211009174302,-0.22033898305084754,0.0,0.0,-0.5,0.0966921119592874,0.04878048780487787,-0.02178899082568808,1.35,0.45999999999999996,0.33,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,0.7770034843205577,281.0,1.2772738827004064,508.0
1586,434,Dennis Schröder,PG,29,LAL,66,50,30.1,4.1,9.8,0.415,1.1,3.4,0.329,3.0,6.4,0.461,0.472,3.3,3.8,0.857,0.3,2.2,2.5,4.5,0.8,0.2,1.7,2.2,12.6,2023,-0.06666666666666665,-0.021739130434782483,-0.24242424242424243,0.0,1.0,-0.037122969837587005,-0.04360465116279055,0.004689331770222793,3.78,1.3499999999999999,0.75,40.0,49.0,67.0,70.0,85.0,83.0,87.0,37.0,0.6843853820598007,409.0,1.2772738827004064,464.0
2513,453,Dennis Schröder,PG,30,BRK,29,25,32.0,5.4,12.7,0.424,2.1,5.1,0.412,3.3,7.6,0.432,0.507,1.8,2.2,0.797,0.6,2.9,3.5,6.0,0.6,0.3,2.4,2.0,14.6,2024,0.15873015873015883,0.33333333333333326,0.3999999999999999,-0.2500000000000001,0.4999999999999998,0.02168674698795181,0.2522796352583585,-0.07001166861143515,8.76,3.5999999999999996,2.1,25.0,25.0,36.0,91.0,52.0,77.0,23.0,81.0,0.7812500000000001,260.0,1.2772738827004064,478.0
2512,453,Dennis Schröder,PG,30,TOR,51,33,30.6,4.8,11.0,0.442,1.5,4.3,0.35,3.3,6.6,0.501,0.511,2.5,2.9,0.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7,2024,-0.06164383561643838,0.016666666666666607,-0.22857142857142854,0.5,-0.33333333333333326,0.04245283018867929,-0.15048543689320393,0.06900878293600998,8.219999999999999,3.6599999999999997,1.62,29.0,23.0,65.0,50.0,77.0,54.0,77.0,42.0,0.7712418300653593,273.0,1.2772738827004064,478.0
